parent|child|mi|containment|jaccard|dotproduct|card1|card2|size1|size2
ckan_keywords_air pollutants|ckan_keywords_air and climate|0.0177850978657|1.0|1.0|0.0350140738059|5|5|6285|6285
ckan_keywords_air and climate|ckan_keywords_emissions|0.0165122259485|1.0|0.473684210526316|0.0350140738059|5|8|6285|6285
ckan_keywords_fine particulate matter|ckan_keywords_air and climate|0.00947401794204|1.0|0.555555555555556|0.0169974921733|5|3|6285|6285
ckan_keywords_air navigation|ckan_keywords_aviation|0.00223711651412|1.0|0.0526315789473684|0.015625|2|3|6285|6285
ckan_keywords_oil and gas|ckan_keywords_air pollution|0.00415597852032|1.0|0.0952380952380952|0.0078125|7|2|6285|6285
ckan_keywords_production|ckan_keywords_air pollution|0.00415597852032|1.0|0.0952380952380952|0.0078125|7|2|6285|6285
ckan_keywords_upstream|ckan_keywords_air pollution|0.00415597852032|1.0|0.0952380952380952|0.0078125|7|2|6285|6285
ckan_keywords_air pollution|ckan_subject_nature_and_environment|0.0296399019036|1.0|0.0702341137123746|0.0657821544587|7|23|6285|6285
ckan_keywords_air quality|ckan_keywords_air|0.00558427936083|0.75|0.166666666666667|0.0236965615753|4|6|6285|6285
ckan_keywords_alberta|ckan_keywords_ontario|0.221175892813|1.0|0.854406130268199|0.87109375|2|4|6285|6285
ckan_keywords_altimeter|ckan_keywords_ontario|0.0283199976571|1.0|0.0689655172413793|0.00665680473373|2|4|6285|6285
ckan_keywords_ammonia|ckan_keywords_nitrogen oxides|0.0153501651518|1.0|0.8|0.0141667521631|3|4|6285|6285
ckan_keywords_smog|ckan_keywords_ammonia|0.0111946251841|1.0|0.75|0.00862658595807|3|3|6285|6285
ckan_keywords_metrics|ckan_keywords_analytics|0.0140772932345|1.0|1.0|0.888888888889|2|2|6285|6285
ckan_keywords_heads|ckan_keywords_animal industries|0.00223711651412|1.0|0.5|0.01|3|2|6285|6285
ckan_keywords_producers|ckan_keywords_animal industries|0.00223711651412|1.0|0.5|0.04|3|2|6285|6285
ckan_keywords_animals|ckan_keywords_transfers|0.00223711651412|1.0|0.0204081632653061|0.01|2|4|6285|6285
ckan_keywords_annual index|ckan_keywords_canada|0.00767537494433|1.0|0.0952380952380952|0.0236686390533|2|6|6285|6285
ckan_keywords_advertisements|ckan_keywords_appointments|0.00933801906022|1.0|0.555555555555556|0.0617283950617|3|2|6285|6285
ckan_keywords_appointments|ckan_keywords_public service commission|0.0170126630253|1.0|0.428571428571429|0.0692898317347|3|5|6285|6285
ckan_keywords_fish harvest|ckan_keywords_approved levels|0.00415597852032|1.0|1.0|0.0138888888889|2|2|6285|6285
ckan_keywords_harvest limits|ckan_keywords_approved levels|0.00415597852032|1.0|1.0|0.0138888888889|2|2|6285|6285
ckan_keywords_removal reference|ckan_keywords_approved levels|0.00415597852032|1.0|1.0|0.0138888888889|2|2|6285|6285
ckan_keywords_stocks|ckan_keywords_approved levels|0.00415597852032|1.0|1.0|0.0138888888889|2|2|6285|6285
ckan_keywords_sustainable|ckan_keywords_approved levels|0.00415597852032|1.0|1.0|0.0138888888889|2|2|6285|6285
ckan_keywords_aquaculture licensing|ckan_subject_nature_and_environment|0.0109544064086|1.0|0.020066889632107|0.166666666667|2|23|6285|6285
ckan_keywords_arson|ckan_subject_health_and_safety|0.00223711651412|1.0|0.00224719101123596|0.0004|2|10|6285|6285
ckan_keywords_monitor / assess substance and waste levels in air; water; soil; biota|ckan_keywords_assess toxicity; manage and monitor for environmental presence of hazardous substances and waste|0.0197487815644|1.0|1.0|0.0385805806527|4|4|6285|6285
ckan_keywords_pollution and waste|ckan_keywords_assess toxicity; manage and monitor for environmental presence of hazardous substances and waste|0.0175120305982|1.0|0.909090909090909|0.0354941608997|4|3|6285|6285
ckan_keywords_assess toxicity; manage and monitor for environmental presence of hazardous substances and waste|ckan_topiccategory_geoscientific_information|0.0190025674139|1.0|0.5|0.0385805806527|4|6|6285|6285
ckan_keywords_assessment|ckan_subject_language_and_linguistics|0.0125323204578|1.0|0.024390243902439|0.07|2|5|6285|6285
ckan_keywords_asset|ckan_keywords_assets|0.0109544064086|1.0|0.103448275862069|0.00887573964497|4|2|6285|6285
ckan_keywords_debt|ckan_keywords_assets|0.0170963798067|0.588235294117647|0.153846153846154|0.0694444444444|4|4|6285|6285
ckan_keywords_deficit|ckan_keywords_assets|0.0280362466745|1.0|0.275862068965517|0.0783201840894|4|3|6285|6285
ckan_keywords_equity/deficit|ckan_keywords_assets|0.0109544064086|1.0|0.103448275862069|0.00887573964497|4|2|6285|6285
ckan_keywords_financial reporting accounts|ckan_keywords_assets|0.0109544064086|1.0|0.103448275862069|0.00887573964497|4|2|6285|6285
ckan_keywords_fra|ckan_keywords_assets|0.0109544064086|1.0|0.103448275862069|0.00887573964497|4|2|6285|6285
ckan_keywords_general ledger|ckan_keywords_assets|0.0109544064086|1.0|0.103448275862069|0.00887573964497|4|2|6285|6285
ckan_keywords_liabilities|ckan_keywords_assets|0.0280362466745|1.0|0.275862068965517|0.0783201840894|4|3|6285|6285
ckan_keywords_list of financial reporting accounts|ckan_keywords_assets|0.0109544064086|1.0|0.103448275862069|0.00887573964497|4|2|6285|6285
ckan_keywords_revenue|ckan_keywords_assets|0.0688379634262|1.0|0.827586206896552|0.138505369275|4|3|6285|6285
ckan_keywords_revenues|ckan_keywords_assets|0.0170875602671|0.833333333333333|0.166666666666667|0.0694444444444|4|3|6285|6285
ckan_keywords_assets|ckan_subject_economics_and_industry|0.0600030124849|0.724137931034483|0.0150916277398491|0.12962962963|4|21|6285|6285
ckan_keywords_producers|ckan_keywords_associations|0.00223711651412|1.0|1.0|0.04|2|2|6285|6285
ckan_keywords_at risk|ckan_keywords_biodiversity|0.00595469460432|1.0|0.375|0.00831024930748|2|5|6285|6285
ckan_keywords_chemicals|ckan_keywords_atmosphere|0.00223711651412|1.0|1.0|0.0123456790123|2|2|6285|6285
ckan_keywords_atmosphere|ckan_keywords_conservation|0.00223711651412|1.0|0.166666666666667|0.0123456790123|2|4|6285|6285
ckan_keywords_p2 planning|ckan_keywords_atmosphere|0.00223711651412|1.0|1.0|0.0123456790123|2|2|6285|6285
ckan_keywords_atmospheric monitoring|ckan_subject_nature_and_environment|0.0619997392456|1.0|0.133779264214047|0.0527771506376|5|23|6285|6285
ckan_keywords_attrition rate|ckan_subject_government_and_politics|0.00767537494433|1.0|0.00390625|0.00216333153056|2|19|6285|6285
ckan_keywords_availability|ckan_topiccategory_utilities_communication|0.00415597852032|1.0|0.25|0.02|2|3|6285|6285
ckan_keywords_avalanche|ckan_subject_health_and_safety|0.00223711651412|1.0|0.00224719101123596|0.0004|2|10|6285|6285
ckan_keywords_average density|ckan_topiccategory_biota|0.00223711651412|1.0|0.04|0.00346020761246|2|6|6285|6285
ckan_keywords_average wage|ckan_subject_labour|0.00223711651412|1.0|0.0028169014084507|0.00694444444444|2|12|6285|6285
ckan_keywords_air transport|ckan_keywords_aviation|0.00223711651412|1.0|0.0526315789473684|0.015625|3|2|6285|6285
ckan_keywords_airports|ckan_keywords_aviation|0.00223711651412|1.0|0.0526315789473684|0.015625|3|2|6285|6285
ckan_keywords_geographic data|ckan_keywords_aviation|0.00223711651412|1.0|0.0526315789473684|0.015625|3|2|6285|6285
ckan_keywords_aviation|ckan_subject_nature_and_environment|0.0283305287817|0.947368421052632|0.06|0.00665680473373|3|23|6285|6285
ckan_topiccategory_transport|ckan_keywords_aviation|0.00223711651412|1.0|0.0526315789473684|0.015625|3|2|6285|6285
ckan_keywords_award|ckan_keywords_expenditures|0.0756362814465|0.983050847457627|0.384105960264901|0.58|3|5|6285|6285
ckan_keywords_fellowship|ckan_keywords_award|0.075632864474|1.0|0.983050847457627|0.58|3|2|6285|6285
ckan_keywords_festival|ckan_keywords_award|0.00223711651412|1.0|0.0169491525423729|0.0277777777778|3|2|6285|6285
ckan_keywords_film|ckan_keywords_award|0.00223711651412|1.0|0.0169491525423729|0.0277777777778|3|2|6285|6285
ckan_keywords_fiscal year|ckan_keywords_award|0.075632864474|1.0|0.983050847457627|0.58|3|2|6285|6285
ckan_keywords_grant|ckan_keywords_award|0.075632864474|1.0|0.983050847457627|0.58|3|2|6285|6285
ckan_keywords_institution|ckan_keywords_award|0.075632864474|1.0|0.983050847457627|0.58|3|2|6285|6285
ckan_keywords_nfb|ckan_keywords_award|0.00223711651412|1.0|0.0169491525423729|0.0277777777778|3|2|6285|6285
ckan_keywords_scholarship|ckan_keywords_award|0.075632864474|1.0|0.983050847457627|0.58|3|2|6285|6285
ckan_keywords_sshrc|ckan_keywords_award|0.075632864474|1.0|0.983050847457627|0.58|3|2|6285|6285
ckan_keywords_work|ckan_keywords_award|0.00223711651412|1.0|0.0169491525423729|0.0277777777778|3|2|6285|6285
ckan_subject_arts_music_literature|ckan_keywords_award|0.0022712160984|0.0588235294117647|0.0133333333333333|0.0277777777778|3|3|6285|6285
ckan_keywords_awos|ckan_subject_nature_and_environment|0.0283199976571|1.0|0.0602006688963211|0.00665680473373|2|23|6285|6285
ckan_keywords_bank accounts|ckan_keywords_income statistics|0.0387082048497|1.0|0.254901960784314|0.108559027778|3|7|6285|6285
ckan_keywords_bank of canada|ckan_keywords_transfers|0.00223711651412|1.0|0.0204081632653061|0.0123456790123|2|4|6285|6285
ckan_keywords_bargaining unit designator code|ckan_subject_government_and_politics|0.00767537494433|1.0|0.00390625|0.00216333153056|2|19|6285|6285
ckan_keywords_reduction|ckan_keywords_basic|0.00415597852032|1.0|1.0|0.02|2|2|6285|6285
ckan_keywords_additional canada education savings grant - a-cesg|ckan_keywords_basic canada education savings grant - b-cesg|0.00223711651412|1.0|1.0|0.01|2|2|6285|6285
ckan_keywords_basic canada education savings grant - b-cesg|ckan_keywords_contributions|0.00179878914703|1.0|0.032258064516129|0.01|2|6|6285|6285
ckan_keywords_benefits|ckan_keywords_canada revenue agency|0.0110065933905|0.545454545454545|0.0206896551724138|0.122448979592|4|7|6285|6285
ckan_keywords_oas|ckan_keywords_benefits|0.00395786992878|1.0|0.181818181818182|0.1025|4|3|6285|6285
ckan_keywords_bilingualism|ckan_subject_language_and_linguistics|0.00447419649963|1.0|0.00696864111498258|0.1025|3|5|6285|6285
ckan_keywords_biological diversity|ckan_keywords_biodiversity|0.00595469460432|1.0|0.375|0.00831024930748|5|2|6285|6285
ckan_keywords_diversity|ckan_keywords_biodiversity|0.00595469460432|1.0|0.375|0.00831024930748|5|2|6285|6285
ckan_keywords_extinct|ckan_keywords_biodiversity|0.00595469460432|1.0|0.375|0.00831024930748|5|2|6285|6285
ckan_keywords_extirpated|ckan_keywords_biodiversity|0.00595469460432|1.0|0.375|0.00831024930748|5|2|6285|6285
ckan_keywords_general status|ckan_keywords_biodiversity|0.00595469460432|1.0|0.375|0.00831024930748|5|2|6285|6285
ckan_keywords_biodiversity|ckan_keywords_nature|0.0148538381066|1.0|0.363636363636364|0.0431162979597|5|8|6285|6285
ckan_keywords_secure|ckan_keywords_biodiversity|0.00595469460432|1.0|0.375|0.00831024930748|5|2|6285|6285
ckan_keywords_sensitive|ckan_keywords_biodiversity|0.00595469460432|1.0|0.375|0.00831024930748|5|2|6285|6285
ckan_keywords_threats|ckan_keywords_biodiversity|0.00595469460432|1.0|0.375|0.00831024930748|5|2|6285|6285
ckan_keywords_wild plants|ckan_keywords_biodiversity|0.00595469460432|1.0|0.375|0.00831024930748|5|2|6285|6285
ckan_keywords_wild species|ckan_keywords_biodiversity|0.00595469460432|1.0|0.375|0.00831024930748|5|2|6285|6285
ckan_keywords_biological|ckan_subject_health_and_safety|0.00223711651412|1.0|0.00224719101123596|0.0004|2|10|6285|6285
ckan_keywords_biomass|ckan_keywords_capacity|0.0109544064086|1.0|0.171428571428571|0.0495867768595|2|3|6285|6285
ckan_keywords_bird|ckan_keywords_canada|0.00767537494433|1.0|0.0952380952380952|0.0236686390533|2|6|6285|6285
ckan_keywords_migratory bird|ckan_keywords_bird populations|0.00223711651412|1.0|1.0|0.00826446280992|2|2|6285|6285
ckan_keywords_bird populations|ckan_keywords_trends|0.00223711651412|1.0|0.0769230769230769|0.00826446280992|2|7|6285|6285
ckan_keywords_wintering area|ckan_keywords_bird populations|0.00223711651412|1.0|1.0|0.00826446280992|2|2|6285|6285
ckan_keywords_bird populations|ckan_keywords_bird species|0.00223711651412|1.0|1.0|0.00826446280992|2|2|6285|6285
ckan_keywords_protect and restore species|ckan_keywords_birds|0.0126656056929|1.0|0.857142857142857|0.0774851418223|6|5|6285|6285
ckan_keywords_birds|ckan_keywords_protect species well-being|0.0149025029482|1.0|0.777777777777778|0.0809453494347|6|7|6285|6285
ckan_keywords_shorebird migration|ckan_keywords_birds|0.00223711651412|1.0|0.142857142857143|0.00826446280992|6|2|6285|6285
ckan_keywords_bomb|ckan_subject_health_and_safety|0.00223711651412|1.0|0.00224719101123596|0.0004|2|10|6285|6285
ckan_keywords_boucherville islands|ckan_keywords_st. lawrence river|0.00767537494433|1.0|0.4|0.16|2|3|6285|6285
ckan_keywords_breakfast|ckan_subject_health_and_safety|0.0140772932345|1.0|0.0179775280898876|0.00274348422497|2|10|6285|6285
ckan_keywords_british columbia|ckan_keywords_canada revenue agency|0.218619179413|0.884920634920635|0.710191082802548|0.87109375|9|7|6285|6285
ckan_keywords_potential areas of occupancy|ckan_keywords_british columbia|0.00223711651412|1.0|0.00396825396825397|0.04|9|2|6285|6285
ckan_keywords_coverage|ckan_keywords_broadband|0.00415597852032|1.0|1.0|0.02|2|2|6285|6285
ckan_keywords_hexagon|ckan_keywords_broadband|0.00415597852032|1.0|1.0|0.02|2|2|6285|6285
ckan_keywords_underserved population|ckan_keywords_broadband|0.00415597852032|1.0|1.0|0.02|2|2|6285|6285
ckan_keywords_unserved population|ckan_keywords_broadband|0.00415597852032|1.0|1.0|0.02|2|2|6285|6285
ckan_keywords_business|ckan_subject_nature_and_environment|0.00767537494433|1.0|0.0133779264214047|0.00308641975309|2|23|6285|6285
ckan_keywords_cadmium|ckan_subject_nature_and_environment|0.00415597852032|1.0|0.00668896321070234|0.00453514739229|2|23|6285|6285
ckan_keywords_caf|ckan_subject_labour|0.00767537494433|1.0|0.0112676056338028|0.00756143667297|2|12|6285|6285
ckan_keywords_basic|ckan_keywords_calculation sheet|0.00415597852032|1.0|1.0|0.02|2|2|6285|6285
ckan_keywords_calendar year|ckan_keywords_naics|0.0361724926304|1.0|0.363636363636364|0.0495867768595|2|3|6285|6285
ckan_keywords_hierarchical bayesian|ckan_keywords_canada|0.00767537494433|1.0|0.0952380952380952|0.0236686390533|6|2|6285|6285
ckan_keywords_basic|ckan_keywords_canada child tax benefit|0.00415597852032|1.0|0.5|0.02|3|2|6285|6285
ckan_keywords_canada child tax benefit|ckan_keywords_canada revenue agency|0.0041771406244|0.5|0.00696864111498258|0.0555555555556|3|7|6285|6285
ckan_keywords_beneficiaries|ckan_keywords_canada education savings grant - cesg|0.01042867188|1.0|1.0|0.0538894628099|4|4|6285|6285
ckan_keywords_canada education savings program - cesp|ckan_keywords_canada education savings grant - cesg|0.01042867188|1.0|1.0|0.0538894628099|4|4|6285|6285
ckan_keywords_canada education savings grant - cesg|ckan_keywords_contributions|0.01042867188|1.0|0.161290322580645|0.0538894628099|4|6|6285|6285
ckan_keywords_post-secondary education - pse|ckan_keywords_canada education savings grant - cesg|0.01042867188|1.0|1.0|0.0538894628099|4|4|6285|6285
ckan_keywords_registered education savings plan - resp|ckan_keywords_canada education savings grant - cesg|0.01042867188|1.0|1.0|0.0538894628099|4|4|6285|6285
ckan_keywords_canada learning bond - clb|ckan_keywords_contributions|0.00595469460432|1.0|0.0967741935483871|0.0282644628099|3|6|6285|6285
ckan_keywords_cpp|ckan_keywords_canada pension plan|0.0101104539007|1.0|1.0|0.409722222222|3|3|6285|6285
ckan_keywords_canada pension plan|ckan_subject_society_and_culture|0.00933801906022|1.0|0.04|0.409722222222|3|18|6285|6285
ckan_keywords_benefit programs|ckan_keywords_canada revenue agency|0.00415597852032|1.0|0.00701754385964912|0.0555555555556|7|2|6285|6285
ckan_keywords_gst/hst credit|ckan_keywords_canada revenue agency|0.0109544064086|1.0|0.0210526315789474|0.122448979592|7|2|6285|6285
ckan_keywords_new brunswick|ckan_keywords_canada revenue agency|0.22117825281|0.995535714285714|0.77972027972028|0.87109375|7|3|6285|6285
ckan_keywords_newfoundland|ckan_keywords_canada revenue agency|0.221180613199|0.991111111111111|0.777003484320557|0.87109375|7|3|6285|6285
ckan_keywords_ontario|ckan_keywords_canada revenue agency|0.221265848965|0.854406130268199|0.690402476780186|0.87109375|7|4|6285|6285
ckan_keywords_personal income taxes|ckan_keywords_canada revenue agency|0.0467784019974|1.0|0.105263157894737|0.452353395062|7|3|6285|6285
ckan_keywords_province|ckan_keywords_canada revenue agency|0.255542067256|0.968627450980392|0.843003412969283|0.92068052686|7|6|6285|6285
ckan_keywords_recipients|ckan_keywords_canada revenue agency|0.0109544064086|1.0|0.0210526315789474|0.122448979592|7|2|6285|6285
ckan_keywords_canada revenue agency|ckan_subject_economics_and_industry|0.25803588999|0.992982456140351|0.102202961357891|1.49548290151|7|21|6285|6285
ckan_keywords_canada school of public service|ckan_keywords_aboriginal peoples|0.00223711651412|1.0|0.0277777777777778|0.01|2|5|6285|6285
ckan_keywords_canada student grant|ckan_keywords_canada student loan|0.00223711651412|1.0|0.166666666666667|0.111111111111|3|2|6285|6285
ckan_keywords_canada warbler|ckan_keywords_nature and biodiversity - habitat|0.00223711651412|1.0|0.0555555555555556|0.01|2|7|6285|6285
ckan_keywords_canadian|ckan_keywords_import|0.0424467565651|0.935483870967742|0.707317073170732|0.147959183673|3|4|6285|6285
ckan_keywords_canadian armed forces|ckan_subject_labour|0.00767537494433|1.0|0.0112676056338028|0.00756143667297|2|12|6285|6285
ckan_keywords_canadian environmental protection act|ckan_keywords_toxic substances|0.0118310611428|1.0|0.75|0.0183759778421|3|4|6285|6285
ckan_keywords_canadian radiological monitoring network|ckan_subject_health_and_safety|0.00595469460432|1.0|0.00674157303370787|0.0177514792899|2|10|6285|6285
ckan_keywords_cansim|ckan_keywords_summary tables|0.0465297550789|0.0|0.0|0.0|2|2|6285|6285
ckan_keywords_cansim|ckan_subject_economics_and_industry|0.328654654451|0.408769973987365|0.252409362092703|275.0|2|21|6285|6285
ckan_keywords_electricity|ckan_keywords_capacity|0.0109544064086|1.0|0.171428571428571|0.0495867768595|3|2|6285|6285
ckan_keywords_energy|ckan_keywords_capacity|0.0109554691223|0.857142857142857|0.166666666666667|0.0495867768595|3|3|6285|6285
ckan_keywords_hydro|ckan_keywords_capacity|0.0109544064086|1.0|0.171428571428571|0.0495867768595|3|2|6285|6285
ckan_keywords_natural gas|ckan_keywords_capacity|0.0424460220185|1.0|0.828571428571429|0.147959183673|3|2|6285|6285
ckan_keywords_power|ckan_keywords_capacity|0.0109544064086|1.0|0.171428571428571|0.0495867768595|3|2|6285|6285
ckan_keywords_renewable|ckan_keywords_capacity|0.0109544064086|1.0|0.171428571428571|0.0495867768595|3|2|6285|6285
ckan_keywords_renewable capacity|ckan_keywords_capacity|0.0109544064086|1.0|0.171428571428571|0.0495867768595|3|2|6285|6285
ckan_keywords_solar|ckan_keywords_capacity|0.0109544064086|1.0|0.171428571428571|0.0495867768595|3|2|6285|6285
ckan_keywords_utilization|ckan_keywords_capacity|0.0424460220185|1.0|0.828571428571429|0.147959183673|3|2|6285|6285
ckan_keywords_capacity|ckan_subject_economics_and_industry|0.0457989688259|1.0|0.0126490784242862|0.197545960533|3|21|6285|6285
ckan_keywords_cash|ckan_keywords_transfers|0.00223711651412|1.0|0.0204081632653061|0.0123456790123|2|4|6285|6285
ckan_keywords_casual employee|ckan_subject_government_and_politics|0.00767537494433|1.0|0.00390625|0.00216333153056|2|19|6285|6285
ckan_keywords_catastrophe|ckan_subject_health_and_safety|0.00223711651412|1.0|0.00224719101123596|0.0004|2|10|6285|6285
ckan_keywords_cctb|ckan_keywords_canada revenue agency|0.00415597852032|1.0|0.00701754385964912|0.0555555555556|2|7|6285|6285
ckan_keywords_cd|ckan_subject_nature_and_environment|0.00415597852032|1.0|0.00668896321070234|0.00453514739229|2|23|6285|6285
ckan_keywords_ced|ckan_keywords_export|0.00223711651412|1.0|0.0333333333333333|0.0016|2|3|6285|6285
ckan_keywords_census|ckan_keywords_education|0.0214256118653|1.0|0.40625|0.05078125|2|3|6285|6285
ckan_keywords_census subdivision|ckan_keywords_education|0.0214256118653|1.0|0.40625|0.05078125|2|3|6285|6285
ckan_keywords_cepa|ckan_keywords_toxic substances|0.0118310611428|1.0|0.75|0.0183759778421|3|4|6285|6285
ckan_keywords_cgc|ckan_subject_agriculture|0.0128571961905|1.0|0.0299145299145299|0.0613223140496|3|8|6285|6285
ckan_keywords_charadriiformes|ckan_topiccategory_biota|0.00223711651412|1.0|0.04|0.00346020761246|2|6|6285|6285
ckan_keywords_chart of accounts|ckan_keywords_receiver general|0.0331864199679|1.0|0.131944444444444|0.0501637339347|5|10|6285|6285
ckan_keywords_chemical|ckan_subject_nature_and_environment|0.00767537494433|1.0|0.0133779264214047|0.00308641975309|2|23|6285|6285
ckan_keywords_chemical spill|ckan_subject_nature_and_environment|0.00767537494433|1.0|0.0133779264214047|0.00308641975309|2|23|6285|6285
ckan_keywords_basic|ckan_keywords_child disability benefit|0.00415597852032|1.0|1.0|0.02|2|2|6285|6285
ckan_keywords_chlorophenols|ckan_subject_health_and_safety|0.00223711651412|1.0|0.00224719101123596|0.00346020761246|2|10|6285|6285
ckan_keywords_chms|ckan_subject_health_and_safety|0.00223711651412|1.0|0.00224719101123596|0.00346020761246|2|10|6285|6285
ckan_keywords_choose|ckan_subject_health_and_safety|0.0140772932345|1.0|0.0179775280898876|0.00274348422497|2|10|6285|6285
ckan_keywords_chrysotile|ckan_keywords_export|0.00223711651412|1.0|0.0333333333333333|0.0016|2|3|6285|6285
ckan_keywords_bibliographic information|ckan_keywords_citations|0.00639302197141|1.0|1.0|0.0403163580247|3|3|6285|6285
ckan_keywords_journal articles|ckan_keywords_citations|0.00639302197141|1.0|1.0|0.0403163580247|3|3|6285|6285
ckan_keywords_citations|ckan_keywords_publications|0.00639302197141|1.0|0.6|0.0403163580247|3|4|6285|6285
ckan_keywords_publishing|ckan_keywords_citations|0.00639302197141|1.0|1.0|0.0403163580247|3|3|6285|6285
ckan_keywords_classifications|ckan_keywords_imports|0.00223711651412|1.0|0.00136054421768707|0.01|2|4|6285|6285
ckan_keywords_climate|ckan_subject_nature_and_environment|0.00290105274325|1.0|0.00668896321070234|0.0223456790123|3|23|6285|6285
ckan_keywords_lighthouses|ckan_keywords_climate archives|0.00223711651412|1.0|1.0|0.01|2|2|6285|6285
ckan_keywords_cloud base|ckan_keywords_ontario|0.0283199976571|1.0|0.0689655172413793|0.00665680473373|2|4|6285|6285
ckan_keywords_cloud opacity|ckan_subject_nature_and_environment|0.0283199976571|1.0|0.0602006688963211|0.00665680473373|2|23|6285|6285
ckan_keywords_housing stats|ckan_keywords_cmhc|0.0056100686609|1.0|0.181818181818182|0.444444444444|3|2|6285|6285
ckan_keywords_vacancy rates|ckan_keywords_cmhc|0.0109544064086|1.0|0.272727272727273|0.375|3|2|6285|6285
ckan_keywords_cmhc|ckan_subject_economics_and_industry|0.0344978168118|1.0|0.00795084929526563|2.15277777778|3|21|6285|6285
ckan_topiccategory_utilities_communication|ckan_keywords_cmhc|0.0109555779346|0.75|0.25|0.375|3|3|6285|6285
ckan_keywords_commodities|ckan_keywords_transfers|0.00223711651412|1.0|0.0204081632653061|0.01|2|4|6285|6285
ckan_keywords_classification|ckan_keywords_commodity|0.00415597852032|1.0|1.0|0.00248285322359|3|3|6285|6285
